,company,rank,job_title,location,salary_range,link,description
28,"Groupon, Inc.",3.6,Data Scientist - Decision Sciences,"Chicago, IL",$105K - $169K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136006&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_f5289a9c&cb=1615413520954&jobListingId=3817671711,"Are you ready to test your skills using massive amounts of information to make critical business decisions?Groupon’s mission is to become the daily habit in local commerce and fulfill our purpose of building strong communities through thriving small businesses. We connect people to a vibrant, global marketplace for local services and experiences. In the process, we’re positively impacting the lives of millions of customers and merchants globally. Even with thousands of employees spread across multiple continents, we still maintain a culture that inspires innovation, rewards risk-taking and celebrates success. If you want to take more ownership of your career, then you're ready to be part of Groupon.Groupon’s global Decision Sciences and Optimization team, within the Revenue Management organization, has the cool responsibility of being business matchmakers. By tweaking key business levers and optimizing algorithms, our mission is to find “dealmates” by introducing the best available deals to the right individuals when they are most likely to be interested in purchasing those deals. We are also responsible for encouraging customers to buy those deals by offering compelling promotions dictated by machine learning models.You will be responsible for understanding customer behavior and translating that into actionable insights that can impact real-time revenue and our user experience. We are looking for a creative and innovative data scientist to drive strategic initiatives that will propel the future growth of Groupon. As part of this team you will focus on various data science problems including but not limited to personalization, customer affinities, customer preference, recommender system, email campaign targeting, optimal pricing, promotion strategy, and product selection.We're a ""best of both worlds"" kind of company. We're big enough to have resources and scale, but small enough that a single person has a surprising amount of autonomy and can make a meaningful impact. We're curious, fun, a little intense, and kind of obsessed with helping local businesses thrive. Does that sound like a compelling place to work?You’ll spend time on the following:You will design, implement, and deploy scalable algorithms and machine learnings models that utilize large amounts of data for campaign selection, deal targeting, optimizing deal selection, and improving user experienceYou will analyze historical data and build forecasting systems to determine future business opportunities and metricsYou will utilize advanced data mining and machine learning to personalize the user experience, increase user engagement and improve core business metricsYou will conduct A/B and diff/diff tests to predict contribution impacts from new models and algorithmsYou will author predictive algorithms that improve deal and promotion relevance for over 60 million of active Groupon usersWe’re excited about you if you have:Master’s degree in a quantitative discipline (Statistics, Data Science, Mathematics or related field) plus 5+ years of relevant experience in data science and predictive modelingPredictive modeling, recommender systems, data mining, machine learning, statistical analysis, data visualization, and testing methodologies (including but not limited to AB)Understanding of applied math topics, such as probability and statistics, linear algebra, basic optimization techniques, etc.Top decile Python, Spark, or similar data science modeling languageDeployment of production data science models that drive business valueSQL queries for data analysis on Teradata, Hive or similar parallel databaseJava programming experienceHDFS and scripting background desiredExperience in e-commerce, consumer insights, or pricing and promotions a plusPrior experience in e-commerce, consumer insights, or marketing campaign effectiveness a plusAbility to thrive in a fast-paced startup environment, and to manage multiple, competing priorities simultaneously. Must be comfortable dealing with ambiguity and a constantly evolving environment.Groupon's purpose is to build strong communities through thriving small businesses. To learn more about the world's largest local ecommerce marketplace, click here for the latest Groupon news. Plus, be sure to check out the values that shape our culture, guide our strategy and make our company a great place to work. And just don't take our word for it. Hear from real Groupon team members and learn more about our inclusive employee groups. If all of this sounds like something that's a great fit for you, then click apply and let's see where this takes us.Groupon is an Equal Opportunity EmployerQualifications for employment, promotion, and other terms and conditions of employment are based upon the ability to perform the job. Equal-employment opportunities are provided to all applicants and employees without regard to race, creed, religion, color, age, national origin, sex, disability, medical condition, sexual orientation, gender identity or expression, genetic information, ancestry, marital status, military discharge status (excluding dishonorable discharge), veteran status, citizenship status, or other legally protected status. We are all responsible for maintaining this policy. Groupon is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may email us at hraccommodations at groupon.com. If you have concerns related to Groupon’s equal employment opportunities, you may contact Groupon's Ethics Reporting Service Ethicspoint."
29,CNA Insurance,3.6,Data Scientist,"Chicago, IL",$88K - $141K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136006&s=58&guid=000001781e26280cbfc343b24d4a8c4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_1bcf5d36&cb=1615413520954&jobListingId=4017071266,"Data Scientist-FIN0001MXDescriptionDescriptionHeadquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.What CNA offersA collaborative data science team with diverse skills and experiences, combined with deep expertise in statistical modeling, machine learning, and applications to insuranceModern cloud computing environment that enables you to explore data, build and deploy sophisticated models that impact key areas such as underwriting, pricing, claims management and risk controlSponsorship of continued professional growth through support for attending technical conferences, meetings and symposiaWhat we are looking forThe successful candidate will:Use statistical methodologies and machine learning techniques to build state-of-the-art predictive models for the pricing, underwriting, claims, operations and marketing for an exciting mix of business insurance productsTranslate business problems into innovative analytical solutionsEssential Duties & ResponsibilitiesBuilds predictive, prescriptive or descriptive models in collaboration with business partners in functional areas such as Underwriting, Pricing, Distribution, Claims, Risk Control and IT to help address business questionsDesigns, writes, and tests advanced computer programs to extract, visualize and analyze data, to build models and to support model deployment into productionInterprets the results of models in business terms and communicates the contents of the models to business decision-makersParticipates in crafting products and innovative solutions that will provide revolutionary changeParticipates in special projects requiring advanced quantitative expertiseRequired Skills, Knowledge & AbilitiesExperience in merging, cleaning, and preparing data for analysis from multiple sourcesExperience in extracting meaningful information from data using visualization and by formulating and testing hypotheses.Proficiency with SQL and programming experience in R or PythonProficiency with classical Generalized Linear Models, statistical inference, and re-sampling methods.Proficiency in LinuxPractical experience with version control (git, SVN)Strong analytical, problem solving and critical thinking skillsAttention to detail and accuracy of work, ability to spot and correct issuesStrong interpersonal and communication skillsStrong writing skills, including writing coherent documentation and reportsDrive to continuously improve and learn new tools and methodsAbility to work collaboratively with colleagues with diverse perspectives and backgroundsStrong time management skillsCapable of operating with little supervision and thinking independently and innovativelyPreferred Skills, Knowledge & AbilitiesPractical experience with distributed computing (e.g., Apache Spark)Experience developing packages in R or PythonExperience with natural language processingKnowledge of insuranceExperience in building machine learning modelsReporting RelationshipAVP or aboveEducation & ExperienceAdvanced degree in a quantitative discipline, with relevant work experience preferred. *LI-KC1Job Information SystemsPrimary LocationUnited States-Illinois-ChicagoOrganization Technology ExecutiveJob Posting Mar 1, 2021Unposting Date Ongoing"
30,Alliant Credit Union,3.4,Data Scientist,"Rolling Meadows, IL",$88K - $145K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1188405&s=149&guid=000001781e28f787a8d81a639e1cdba4&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_c360140d&cb=1615413705472&jobListingId=3795209572,"Start a Rewarding Career with AlliantWhat will your day look like?

The Data Scientist is responsible to lead the development, validation, documentation, and implementation of statistical and advanced machine learning models that are used for decisioning and product management throughout member lifecycle, including segmentation, optimization, and prescriptive analytics; work effectively with internal clients to understand the business needs, propose appropriate quantitative solutions, and develop data-driven recommendations to improve member experience and achieve business objectives; provide statistical and analytical inputs for the development and implementation of policies and business plans related to loan origination, portfolio management, loss forecasting and portfolio monitoring; proactively collaborate with cross-functional partners including Business Intelligence, Model Risk Management, and Information Technology (Database Engineers, Application Development and Information Security); and deliver effective presentations of analysis results and recommendations to multiple levels of leadership and business partners. The incumbent is a key contributor to the success of the Risk Analytics team.ResponsibilitiesDo you see yourself doing this?

Use advanced analytics to solve business problems and support business and risk strategic objectives. Collaborate with various partners to prioritize requests/needs and provide a holistic view of the analysis.
Perform advanced data analytics (e.g. data mining, statistical analysis, predictive analytics), and develop, document, and support the deployment of quantitative models, which are used for decisioning and product management through member lifecycle including acquisition, activation, utilization, relationship deepening and retention.
The risk analytics projects may include but not be limited to: automated credit decisioning, risk rating models, pricing models, loan loss forecasting, as well as CECL models and validation.
Acquire and integrate data from multiple data sources for analysis, perform exploratory to advanced predictive and/or modeling analytics, and identify data relationships such as trends, patterns and correlations in order to solve business questions as well as provide actionable recommendations.
Leverage multiple complex data sources such as credit bureau reports, and customer supplied information at large scale to optimize approve / decline and credit line assignment decisions.
Be able to presents data and analysis in a clear and concise manner allowing the internal clients to quickly understand the results and make data driven decisions.
Work jointly with engineers to deploy models into production environment.
Perform model validation and documentation of newly-developed predictive models to ensure they follow best industry practices and are in compliance with internal and regulatory requirements.
Conducting annual model validations to ensure models are working as intended and proactively seek, build and consolidate new data inputs to improve model performance.
Promote a risk-aware culture, ensure efficient and effective risk and compliance management practices by adhering to required standards and processes.
Adhere to and ensure compliance of all business transactions with policy and process of the Bank Secrecy Act. Comply with Privacy Act directives and all other applicable state and federal laws, company procedures and policies. Maintain integrity and ethics in all actions and conversations with or regarding credit union members and their accounts.

QualificationsWhat makes you a great fit?

You’ll be a great fit if in addition to an advanced degree (M.S./PhD) in Mathematics, Statistics, Quantitative Finance, Engineering, Computer Science, or other quantitative field required, and you have:


Require 2+ years of data analytics and modeling experience in the financial services industry (consumer lending preferred)
Hands-on work experience on building and deploying decisioning models that are used for one or more of the areas in credit risk, collections, marketing, or fraud
Expert knowledge in one of the statistical programming languages such as Python or R, and database languages such as SQL
Basic knowledge on lending, credit risk measures (PD, LGD and EAD)
Excellent communication skills and ability to present complex analyses and technical subject matter clearly and concisely to internal customers with different technical backgrounds
Strong teamwork and interpersonal skills to collaborate with people across functions
Self-motivated and impact-oriented


When you’re happy, we’re happy!

As a thank you for joining our team, you’ll benefit from:


Competitive medical, dental, and free vision benefits
Competitive compensation plan
Contributions towards gym memberships
Generous PTO and banking holidays off

Still not convinced?

We’re on the list of 100 Best Medium Companies to work for, check it out here. For more details you can also visit our Glassdoor and LinkedIn profiles."
31,Epsilon,3.6,Data Scientist (Decision Science Identity Team),"Chicago, IL",$87K - $144K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=149&guid=000001781e28f787a8d81a639e1cdba4&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_1647acd8&cb=1615413705474&jobListingId=3788656226,"Company DescriptionEpsilon is the leader in outcome-based marketing. We enable marketing that’s built on proof, not promises. Through Epsilon PeopleCloud, the marketing platform for personalizing consumer journeys with performance transparency, Epsilon helps marketers anticipate, activate and prove measurable business outcomes. Powered by CORE ID®, the most accurate and stable identity management platform representing 200+ million people, Epsilon’s award-winning data and technology is rooted in privacy by design and underpinned by powerful AI. With more than 50 years of experience in personalization and performance working with the world’s top brands, agencies and publishers, Epsilon is a trusted partner leading CRM, digital media, loyalty and email programs. Positioned at the core of Publicis Groupe, Epsilon is a global company with over 8,000 employees in over 40 offices around the world. For more information, visit www.epsilon.com. Follow us on Twitter at @EpsilonMktg.Job DescriptionExternal Title: Data ScientistInternal Title: Scientist, Decision SciencesIn this role, you will research and develop enhancements to Epsilon’s CORE Personalization Platform to continually increase the capabilities of Epsilon’s digital marketing businesses.The Decision Sciences group is a collaborative, multi-disciplinary R&D team combining data science, machine learning, AI, computer science, and more. Our colleagues love the fast-paced, dynamic work environment, the speed with which we translate research to business impact, the opportunity to continually learn new knowledge and skills, the internal research seminars, the external training opportunities, and the excellent work-life balance our culture promotes.We prioritize talent and potential over having closely similar prior experience. If using internet scale data to drive business impact excites you, we want to talk to you.ResponsibilitiesConduct projects from early stage research through development, in consultation with stakeholdersUse your expertise in data science, machine learning, and/or computer science to research and recommend solutions to our technology and business problemsProvide technology leadership to yield innovative differentiating solutionsImplement and optimize state of the art algorithms in distributed environmentsParticipate fully in our collaborative approach to research and applications projectsDevelop an understanding of Epsilon PeopleCloud Digital Media Solutions personalization platform and proprietary datasetsQualificationsPh.D in a computational, mathematical, engineering, or scientific fieldResearch experience in a computational area such as data science, computer science, machine learning, artificial intelligence, statistics, or graph algorithmsFluency in programmingAnalytic and modeling skills; proficient at conceptualizing, implementing, and evaluating accurate and scalable solutions to business problemsVerbal and written communication skills, including the ability to summarize technically complex information for a non-technical audienceAdditional, But Not Required SkillsExperience with distributed computingDemonstrated proficiency working with business and technical teams to integrate algorithms into product platforms on large data setsQualificationsAdditional InformationGreat People, Deserve Great BenefitsWe know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.Epsilon is an Equal Opportunity Employer. Epsilon’s policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. Epsilon also prohibits harassment of applicants and employees based on any of these protected categories.Epsilon will provide accommodations to applicants needing accommodations to complete the application process.#LI-AL1REF23529I"
32,"Vizient, Inc.",4.2,Health Care Data Scientist,"Chicago, IL",$94K - $155K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044074&s=58&guid=000001781e28f787bb5eb1b09cb102b6&src=GD_JOB_AD&t=SR&vt=w&cs=1_231f4a8b&cb=1615413705476&jobListingId=3686028968,"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.Summary:In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.Responsibilities:Provide analysis to identify critical issues/questions around member performance.Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.Generate hypotheses and analyze data to test and interpret results.Design and develop data models to predict member outcomes or future impact of key member decisions.Communicate findings from exploratory and predictive data analysis broadly to team and leaders.Identify improvement opportunities in reporting and BI tools and collaborate with Products Technology to implement enhancements.Serve as the resident data expert and share best practices/approaches for statistics, machine learning techniques, data modeling, simulation and advanced mathematics.Collaborate with key leaders and clinicians to build analytical acumen across all analytic roles in the organization.Qualifications:Relevant degree preferred. Advanced degree a plus.5 or more years of relevant work experience.Proficient programming experience using SAS/Python/R.Demonstrated ability to manage large disparate data sets and using quantitative and qualitative analysis.Experience effectively communicating and presenting data to a variety of audiences required.Experience working with health care administrative claims data (ICD-10, MS-DRG, CPT/HCPCS) or electronic medical record data tools (Epic Clarity/Caboodle, Cerner CCL-Discern/PowerInsight) required.#LI-DM#IDSEqual Opportunity Employer: Females/Minorities/Veterans/Individuals with DisabilitiesThe Company is committed to equal employment opportunity to all employees and applicants without regard to race, religion, color, gender identity, ethnicity, age, national origin, sexual orientation, disability status, veteran status or any other category protected by applicable law."
33,Uline,3.7,Supply Chain Data Analyst (North of Chicago),"Chicago, IL",$65K - $79K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1044074&s=58&guid=000001781e28f787bb5eb1b09cb102b6&src=GD_JOB_AD&t=SR&vt=w&cs=1_2345e68a&cb=1615413705476&jobListingId=3769001705,"Supply Chain Data AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesAnalyze company operations, including performance and productivity data, error rates and their root causes.Independently interpret results using a variety of techniques, ranging from simple data analysis to complex data mining.Analyze reports to identify distribution operational issues.Conduct ad hoc analyses on various departments and branches.Design, develop, implement and maintain business solutions to improve performance.Minimum RequirementsBachelor's degree.2 years experience.Working knowledge of SQL, data extraction and analysis a must.Experience in a distribution, supply chain or warehouse environment a strong plus.Excellent proficiency in Microsoft Office, especially Excel.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-SN1#CORP"
34,PMA Consultants,4.3,Data Scientist/Analytics Specialist,"Chicago, IL",$96K - $157K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044077&s=58&guid=000001781e28f787bb5eb1b09cb102b6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9441e673&cb=1615413705476&jobListingId=4023338632,"PMA Consultants is a national program management/construction management consulting firm consistently achieving top rankings in Engineering News-Record (ENR). With a portfolio of projects that span the globe, we specialize in project and program management with subspecialties in owner’s representative, project controls, project scheduling, risk management, claims avoidance, and other fields! We are recognized for our leadership and subject matter expertise across a variety of industries and for helping owners deliver successful projects.PMA values professionals who aspire to cultivate successful and enduring careers with us, and we have a great track record of working with our staff to nurture meaningful career arcs across industries and geographies.Position SummaryThe qualified candidate will have a high degree of intellectual curiosity and will be a proactive self-starter who searches for relevant questions while providing an objective and impartial analysis. The successful applicant will have excellent oral and written communication skills, with the ability to discuss financial strategies and translate them into actionable plans; be a team contributor who puts the success of the group ahead of personal ambitions; and a person who values honesty and integrity and can handle confidential information effectively. Other required qualifications include demonstrated interpersonal skills to develop and maintain effective work relationships with all levels of personnel; an ability to leverage multiple data sources and advanced tools to develop directive analytics, including strong visualization of the data; and outstanding oral and written communication skills.Major tasks in this important role include designing, implementing, and supporting business intelligence reporting by using advanced data visualization and analytics tools (e.g., Power BI, Tableau, Oracle Analytics, etc.); designing and building publication-ready data visualizations using diverse sets of structured and unstructured data; and monitoring and resolving performance issues specific to dashboard development and delivery. Other duties involve supporting internal initiatives to develop the organization’s visualization techniques, strategizing in collaboration with functional teams to identify data-driven solutions for ongoing needs across the organization, and moving multiple projects forward by employing project management techniques. The capable candidate will also extract and analyze data from databases to drive optimization and improve product development and business strategies, present information using data visualization techniques, and elicit and validate user requirements to ensure users have opportunity to define their needs and expectations for new or modified tools and applications.The successful candidate will also have the ability to research data from diverse sources and use advanced analytical techniques to support decision making on new and proposed applications; develop recommendations that account for unanticipated changes and unusual factors and develop written reports and oral presentations to recommend changes to proposed new systems and applications; ensure the delivery of robust customer support, including technical assistance, troubleshooting, and training to promote the effective implementation of systems and applications; communicate complex technical requirements to nontechnical personnel; and prepare and present briefings to senior management officials on systems-related matters. Our ideal candidate will maintain professional competence and a specialized knowledge base by keeping in step with emerging themes and best practices.Position QualificationsMA/MS in economics, statistics, mathematics, computer science, or related field required.5+ years of work experience or a BA/BS in economics, statistics, mathematics, computer science, or related field and 8+ years of relevant work experience.Extensive expertise in analyzing large, complex, multi-dimensional datasets with a variety of tools, and accomplished in the use of statistical analysis environments required.Experience with relational databases (e.g., SQL, Oracle and NoSQL) and Hadoop-based data mining frameworks required.Demonstrated ability to independently prepare sophisticated statistical analyses with accuracy and calibration within an established time frame required.Ability to read and understand mathematical formulae with the capability of applying new concepts to existing problem sets required.Understanding of both structured and unstructured data, the benefits of both, and when/how to apply them required.Extensive experience with Power BI, Tableau, and/or other data analytics and visualization/business intelligence software systems tools required.Must possess excellent command of the English language and excellent writing skills.Must be proficient in the use of Microsoft applications (i.e., MS Word, PowerPoint, and Excel).Knowledge and experience with querying databases (SQL, or similar) and with using statistical computer languages required.Knowledge with project management principles, methods, and practices to plan, organize, and manage projects that require efficient and effective use of assigned resources and the timely accomplishment of project objectives required.IT project management experience as well as knowledge of Primavera P6, MS Project, or equivalent project management software preferred.PMA offers competitive wages and comprehensive benefits, including medical, prescription, dental, vision, time off with pay, 401(k) with company match, life, disability, and professional development reimbursement. All qualified applicants will receive consideration for employment without regard to race, color, religion, or sex (i.e., pregnancy, sexual orientation, gender identity, or gender expression); disability; national origin; or any other characteristic protected by applicable laws, regulations, and ordinances. Qualified female and minority applicants are encouraged to apply.EOE, including persons with disabilities and veterans.VEVRAA federal contractor.Job Type: Full-timePay: $65,000.00 - $85,000.00 per yearBenefits:401(k) matchingDental insuranceHealth insurancePaid time offReferral programVision insuranceSchedule:Monday to FridayEducation:Master's (Preferred)Experience:Machine Learning: 1 year (Preferred)Python: 1 year (Preferred)Work Location:One locationCompany's website:www.pmaconsultants.comWork Remotely:No"
35,TransUnion,3.9,Product Strategy Leader - Data Science Technologies,"Chicago, IL",$98K - $158K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044074&s=58&guid=000001781e28f787bb5eb1b09cb102b6&src=GD_JOB_AD&t=SR&vt=w&cs=1_e8bdc153&cb=1615413705477&jobListingId=3817800267,"What We'll Bring:At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation. We’re consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology.What You'll Bring:Advanced knowledge of the product management lifecycle management and go to market processes for B2B software in the data science and machine learning platform spaceExperience in managing product portfolio of data science platforms, predictive analytic models, and machine learning commercialization in the financial space will be preferredMinimum of 7 years’ experience from one of the following areas preferred: risk management, B2B data science technology services, financial services, and/or other similar fieldsUnderstanding of how data science and risk analytics teams have implemented data science software and platforms in the risk analytics spaceUndergraduate degree in finance, accounting, mathematics, engineering or one of the hard sciences. MA/MS/MBA or equivalent experience is a plus.Deep knowledge and experience in product strategy and management, preferably in financial services, risk analytics, or data science technologyStrong leadership skills; ability to take initiative and ownership and effectively leverage resources to successful outcomes without constant directionStrong problem solving skills; ability to break down complex problems into critical parts, identify the key causes and effectively prioritize and execute way forwardProven ability to quickly grasp industry and business-wide concepts in order to assess implications to drive actions and to capitalize on opportunitiesStrong critical thinking skills, ability to assimilate and understand new concepts in short time framesExceptional analytical skills; ability to logically and systematically visualize and efficiently tackle tasksSuperior communication skills (verbal and written)Outstanding interpersonal skills and ability to work across functions and levels of seniorityHighly organized, excellent project management abilitiesAdvanced fluency in Excel, PowerPoint and WordComfort operating in and delivering high-profile results in ambiguous environments#LI-JD1Impact You'll Make:The Product Strategy Leader - Data Science Technologies will work closely with the VP of Analytics Enablement Solutions to provide leadership in defining, developing, launching, and managing the global data science and analytics product portfolio. You will leverage your domain expertise in the data science platform and risk analytics space to drive the business forward with responsibility for all analytic enablement products globally with a focus on our Prama suite of solutions.Your role will evolve as we form the group and initially, you will:Work closely with the VP of Analytics Enablement Solutions to develop the vision and roadmap for the analytics suite of solutionsAccountable for the longer-term P&L performance and strategy for your product portfolioDevelop strategic insights based on market assessments grounded in primary and secondary researchCollaborate with Sales, Markets, Regions, Data Science, Global Technology, Marketing, and the broader Global Solutions Team to create and maintain business plans with clear and measurable targets while ensuring cohesive product offeringsPartners with International Product leads to ensure best practice sharing between US and TU International MarketsDevelop and deliver senior level presentations to articulate business plansReview and approve product backlogsAssist in designing and establishing a process for continuous improvement of our analytics suite of solutions, leveraging a data-driven, hypothesis-test-learn approachGather competitive intelligence on an ongoing basis, monitor strategy and competitive response for key competitive solution sets#LI-JD1We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability status, veteran status, marital status, citizenship status, sexual orientation, gender identity or any other characteristic protected by law.TransUnion's Internal Job Title:Sr Advisor, Product Management"
36,Edward-Elmhurst Health,3.8,Clinical Lab Scientist-Generalist SIGN ON BONUS!,"Elmhurst, IL",$20 - $32 Per Hour(Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1044074&s=58&guid=000001781e28f787bb5eb1b09cb102b6&src=GD_JOB_AD&t=SR&vt=w&cs=1_d06c14dc&cb=1615413705478&jobListingId=4023198846,"$2000.00 SIGN ON BONUS(Bonus program parameters apply)Edward-Elmhurst Health includes three hospitals — Edward Hospital, Elmhurst Hospital, and Linden Oaks Behavioral Health — and an extensive ambulatory care network that provides comprehensive healthcare to residents of the west and southwest suburbs of Chicago. Edward-Elmhurst Health provides comprehensive healthcare at more than 60 locations in the suburbs of Chicago. Our success has always been — and always will be — driven by our most talented, reliable, compassionate and skilled people, who genuinely believe in delivering top quality care to our patients and their families. At Edward-Elmhurst Health, you will also experience a vibrant culture and an atmosphere of nurturing support and leadership.Be DRIVEN to join our over 8,000 employees, 1,700 staff physicians and 1,800 volunteers who want to provide safe, seamless and personalized care every day for our patients, our families and our communities.Job Summary: Performs various clinical laboratory tests in one or more sections of the Laboratory in order to obtain data for use in diagnosis and treatment of disease. Overall, generalist duties including some microbiology and blood bank.Hours: Full-time NIGHTS 10pm-6:30am; Includes weekend/holiday rotationRequired:Bachelors degree in Medical Technology or Clinical Laboratory ScienceAbility to accurately collect and analyze test results, and to perceive similarities and differences in colorRegistration with the American Society of Clinical Pathology (ASCP), National Credentialing Agency (NCA) or equivalentNEW GRADS WELCOME TO APPLY!Benefits offered by Edward-Elmhurst Health include:Medical, dental, and vision401KTuition reimbursementPaid time offFitness center membershipPlus many other Employee PerksLocation: Edward-Elmhurst Health · LAB-AUTOMATEDSchedule: Full time, Nights, 10:00pm-6:30AM"
37,Uline,3.7,Data Analyst (North of Chicago),"Chicago, IL",$65K - $79K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=000001781e28f787bb5eb1b09cb102b6&src=GD_JOB_AD&t=SR&vt=w&cs=1_13b76254&cb=1615413705478&jobListingId=3789462051,"Data AnalystCorporate Headquarters12575 Uline Dr. Pleasant Prairie, WI 53158We're passionate about our products because our customers rely on them to run their businesses.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesWrite SQL queries to retrieve sales, customer and product data.Perform ad hoc analysis and create reports to illustrate performance, answer business questions and provide recommendations.Apply basic and intermediate statistical methods (e.g. data aggregation, regression analysis, time series analysis, etc.) to solve business questions.Collaborate with pricing team members to create reports, analyses and presentations.Build relationships with the Merchandising and Logistics teams to develop trust and understand processes.Create what-if scenarios to quantify the impact due to catalog price or vendor cost changes.Minimum RequirementsBachelor’s degree. Business, statistics, mathematics or computer science majors preferred.Proficient in Excel with exposure to SQL, Power BI and statistical methods.Analytical and organized with relentless attention to detail.Strong intellectual curiosity with willingness to learn new concepts and tools.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/DisabledUline is a drug-free workplace.#LI-LP1#CORP"
