,company,job_title,location,salary_range,link,description
40,Uline,Financial Analyst (North of Chicago),"Chicago, IL",$63K - $74K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_3b2b0b6a&cb=1615249961499&jobListingId=3677159017,"Financial AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158With a long history as a stable employer, we continue to look for passionate college graduates to join our team.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesReview financial statements for assigned business units and identify key trends, variances and opportunities for performance improvements.Assist with monthly and ad hoc analysis throughout all of Uline's departments and branches.Present performance improvement recommendations to Uline's senior leadership, including the CFO and Corporate and Branch Management.Work independently to develop and review Uline's annual budget and forecast.Minimum RequirementsBachelor's degree in finance or accounting.Highly adept in Microsoft Excel, Access and Word. SQL experience a plus.Strong team player with a desire to advance within the Finance department.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with a 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/DisabledNOCBPOST"
41,Fresenius Kabi,SR FINANCIAL ANALYST,"Melrose Park, IL",$53K - $79K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_cd411803&cb=1615249961500&jobListingId=3809765464,"Job SummaryConduct detail and summary analysis to identify, communicate and explain operational variances to senior management at departmental and reporting unit levels. Assist in leading annual budget, strategic planning and quarterly forecasts for applicable reporting unit. Prepare various ad hoc financial analysis to support management decision making. Support in the development of process improvements within financial planning. Use SAP to obtain, prepare and compile information on behalf of the business/division unit and production units. Prepare journal entries and perform analysis of data utilizing SAP and other related systems. Under general supervision, in charge of accounting activities and the corresponding managerial and financial reports.ResponsibilitiesCollect, prepare and analyze financial actuals, budget/forecasts and variance reports on a monthly, quarterly and annual basis for the multiple divisions and production units including Contract Manufacturing & OH.Prepare and execute monthly actual, forecast and budget projection uploads into FK Systems related to Sales and full P&L.Prepare, analyze monthly results and reports for BU NAM.Responsible for ensuring the accuracy of the Fresenius Kabi Legal and Management financial systems in BU NAM.Responsible for Standard cost calculation support and corresponding system improvements and projectsResponsible for ensuring the accuracy of the Fresenius Kabi SAP system requirements to include phased forecast and budgeted projections for BU NAM.Participate in the development and implementation of the strategic planning process for BU NAM.Assist in financial studies regarding projected changes in revenues and expenditures for BU NAMConduct analysis to improve the operational and financial effectiveness and process improvement of the applicable reporting units.Develop internal financial reports for forecasting/trending/and results analysis.Assist in the development, programming and process improvement within financial systems.Prepare journal entries, account reconciliations, accounting estimates and analysisCoordinate and prepare monthly actual spend data reports for meeting with cost center ownersPrepare, analyze and report monthly, quarterly and annual A/R results and projections for applicable units.Ad-Hoc Financial analysis ranging from Sales & Distribution to Operations.Job RequirementsBachelor’s degree in Accounting/Finance required, MBA, CMA or CPA preferred5+ Years of related work experienceProficiency in MS office and other technical programsFinancial and operational modeling skillsSAP experienceStrong written and verbal communication skills.A high degree of accuracy and attention to detail is requiredThis position will interact with all levels of employees throughout company.Thorough understanding and working knowledge of accounting principlesTime flexible during peak periods of the year and holidaysAdditional InformationWe offer an excellent salary and benefits package including medical, dental and vision coverage, as well as life insurance, disability, 401K with company match, and wellness program.Fresenius Kabi is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disabilities, or protected veteran status."
42,Uline,IT Business Analyst (North of Chicago),"Chicago, IL",$70K - $85K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_33a715c8&cb=1615249961500&jobListingId=3818294484,"IT Business AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158Uncover your full potential in a collaborative environment where you'll design, develop and deliver custom solutions to big challenges. And you'll be doing it for a proven industry leader that runs one of the largest e-commerce sites in the U.S.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesWork closely with the business to understand problems and identify the work needed to implement future state solutions.Document and analyze current state business processes and the underlying systems and applications.Conduct meetings with stakeholders to gather user requirements.Write user stories and lead backlog grooming/refinement sessions.Analyze existing and new software solutions to find the most effective way to meet business needs.Validate business, functional and technical requirements.Create product/project backlogs consisting of Epics, Features, User Stories and Tasks.Produce timely and high-quality work products, including specifications, process flows, mock-ups and wireframes.Plan and execute System/Functional Testing and User Acceptance Testing.Minimum RequirementsBachelor's degree.4+ years of experience in a Business Analyst or related role.6+ years of overall IT experience with significant involvement in software development.Significant experience with both traditional Waterfall SDLC and Agile/Lean methodologies.Experience with Atlassian/Jira/Confluence and Microsoft TFS a plus.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-SR1#CORP"
43,Reyes Holdings,Trans & Ops Systems Analyst,"Rosemont, IL",$40K - $75K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_23ba7bb9&cb=1615249961500&jobListingId=3777923706,"We are Driven by Excellence, Dedicated to People in everything we do…no matter the job. A unique and fulfilling work experience comes with every position within the Reyes Family of Businesses - where there’s always an opportunity to grow and develop in a family-owned environment grounded in values and ethics.Position Summary:The Transportation and Operations Systems analyst will be responsible for development, maintenance and oversight of relevant transportation and operation solutions.Position Responsibilities may include, but not limited to:Establish an advanced level of knowledge for Infor EAM, fleet telematics and other transportation system and the Reyes Holdings businesses that use it.Manage Infor EAM system administration and configuration modules; workflow development and administration.Provide technical expertise with security setup, maintenance, and troubleshooting for Infor EAM, fleet telematics and other transportation systems.Oversee and maintain Infor EAM, Xatanet and other transportation systems reports; run queries against a SQL database and create ad hoc reports.Analyze complex problems and perform application configuration changes for enhancements and change requests.Assist with data migration, upgrades and enhancements on Infor EAM, Xatanet and other transportation system.Perform quality assurance processes: perform test runs, coordinate testing, and resolve test deficiencies prior to deployment of system enhancements developed with .Assist with end user training and consultation for Infor EAM.Serve as primary contact for Infor EAM users and ITSC (IT Service Center).Plan and execute system fixes/patches fixes/patches to Infor EAM or other transportation systems.Identify and communicate Infor EAM, Xatanet or other transportation systems defects to vendor.Monitor Infor EAM system performance; troubleshoot and resolve technical problems.Serve as liaison between vendor and Infor EAM system, Xatanet and other transportation system users to resolve issues.Provide assistance for supported platform environments, including development, testing, training and production.Other projects or duties as assigned.Required Skills and Experience:Bachelor degree in related field or equivalent work experience3-5 years of computer software experience in computer systems development and analysis, applications programming or configuration, database administration, and data communicationExperience in identifying client business requirements and translating them into functional specificationsIntermediate knowledge of Microsoft SQL Server database structureIntermediate knowledge of and ability to use SQL programming languageIntermediate knowledge of report writing tools (e.g. Cognos, Crystal Reports)Excellent customer service skills and strong interpersonal skillsStrong organizational skills with great attention to detail, with strong analytical and problem-solving skillsProfessional written and verbal communication skills, with good ability to communicate with different levels within an organizationExcellent verbal and written communication skills.Proficient in Microsoft Office.This position must pass a post-offer background and drug test.Preferred Skills and Experience:Understanding of asset management systemsUnderstanding of fleet maintenance or any maintenance type systemUnderstanding of electronic logging systems for tracking federal hours of service regulationsKnowledge of programming languagesPhysical Demands and Work Environment:Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Due to the nature of our business in regard to such things as delivery schedules, order inputs, selection, and Department of Transportation Hours of Service, overtime, attendance and punctuality are essential job functions. Should an individual in this classification not be able to adhere to this requirement due to a disability, they should contact their Human Resources department to see what, if any, reasonable accommodation may be made.As an Equal Opportunity Employer, Reyes Holdings companies will recruit and select applicants for employment solely on the basis of their qualifications. Our Practices and Procedures, including those relating to wages, benefits, transfers, promotions, terminations and self-development opportunities, will be administered without regard to race, color, religion, sex, sexual orientation and gender identity, age, national origin, disability, or protected veteran status and all other classes protected by the Federal and State Government. Drug Free Employer."
44,Uline,Credit Analyst (North of Chicago),"Chicago, IL",$44K - $73K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_dbd0af49&cb=1615249961500&jobListingId=4015497350,"Credit AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158At Uline, Finance isn’t just about the numbers; it’s about supporting the entire business.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesAnalyze a high volume of orders requiring credit review and answer 30+ incoming calls per day.Meet daily release deadlines to ensure customer orders are processed accordingly.Set and adjust credit limits based on customer requests and / or past payment experience.Contact customers with past-due balances to determine cash flow status.Handle email communication with customers and internal departments.Analyze signs of possible fraud to determine account validity and protect company assets.Perform various analyses, including thorough reviews of financial statements and preparation of reports.Minimum RequirementsBachelor’s degree.2+ years experience in credit, collections or call center environment preferred.Bilingual (English / Spanish) preferred.Proficient in Microsoft Word and Excel.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with a 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 38,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-TE2#CORP"
45,Uline,Exemption Analyst (North of Chicago),"Chicago, IL",$43K - $58K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_3b33ba44&cb=1615249961500&jobListingId=3791635582,"Exemption AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158At Uline, Finance isn’t just about the numbers; it’s about supporting the entire business.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesAnalyze sales tax exemption certificates for accuracy.Contact customers if documentation is missing or incomplete.Apply approved sales tax exemption certificates in our state-of-the-art customized software.Calculate and process sales tax credits based on exemption documentation.Collaborate with a cross-functional team of like-minded individuals to provide exceptional service.Minimum RequirementsHigh school diploma or equivalent. Bachelor's degree in Finance or Accounting preferred.Customer service experience a plus.Bilingual (English / Spanish) a plus.Excellent verbal and written communication skills.Strong analytical skills.Highly organized and detail-oriented with the ability to multitask.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with a 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-TE2#CORP"
46,Constellation Brands,Product Analyst- Sales Execution,"Chicago, IL",$48K - $84K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_fdc6f2f9&cb=1615249961500&jobListingId=3821876368,"Job DescriptionCompany SummaryTired of looking at the same jobs in the high-tech industry? Have you ever considered working in the wine, beer & spirits industry – well now is your chance! Constellation Brands (NYSE: STZ and STZ.B), a Fortune 500® company, is a leading international producer and marketer of beer, wine, and spirits with operations in the U.S., Canada, Mexico, New Zealand, and Italy.Constellation is the No. 3 beer company in the U.S. with high-end, iconic imported brands such as Corona Extra, Corona Light, Modelo Especial, Modelo Negra and Pacifico. The company’s beer portfolio also includes Funky Buddha, one of the most awarded craft brewers in the U.S. In addition, Constellation is the world’s leader in premium wine, selling great brands that people love, including Robert Mondavi, Kim Crawford, Meiomi and The Prisoner. The company’s premium spirits brands include SVEDKA Vodka, Casa Noble Tequila, and High West Whiskey. We express our company vision: to build brands worth reaching for, and to learn more, visit https://companyprofile.cbrands.com/.Constellation Brands has a flexible work environment that includes the ability to work remotely a few days a week!Position SummaryAs a Product Analyst, Sales Execution you will be the technology and process / functional expert focusing on Field Sales Enablement. You will join the product management team and will collaborate with business stakeholders, distributors, product managers and Agile Teams to define and prioritize new capabilities through user stories, personas, journey maps and UX designs. You will play a critical role in bringing both business and digital thought leadership to the Agile Squads to define and execute Product Roadmaps and measure business value.ResponsibilitiesWork with key business stakeholders and Product Managers to understand goals, enabling capabilities and success measures for digital initiatives.Develop deep knowledge in the Field Sales Enablement process; develop relationships with key business stakeholders to enable feature definition and roadmap execution.Ability to take a holistic product strategy and break it down into detailed requirements and acceptance criteria which can be leveraged by a cross-functional agile team.Work with the product management team to create and maintain core product artifacts including KPI’s, actual product performance vs. KPI’s, product roadmaps, user personas, journey maps, TCO models and product backlog for each product in their portfolio.Define or enhance business processes that improve team execution.Collaborate with other Product Analysts and Product Managers to define and align product roadmaps to ensure ecosystem integrity (mobile execution, planning, reporting, etc.).Utilize Design Thinking and business process modeling techniques to facilitate feature / story definition or UX design. Act as the functional subject matter expert in the assigned functional domain. Define and elaborate on key epics, develop stories and acceptance criteria that are actively managed as part of release planning / story grooming.Define success metrics for key capabilities and releases; on a quarterly basis analyze how the product is performing against key objectives.Accountable for delivery of business value / outcomes from prioritized roadmap items.Engage, educate, and support the super user network for the center of excellence for the specific applications within the defined process area.Qualifications3+ years’ experience in information systems and/or analytical business systems; some technical experience is highly desired, but this role is not a technical role.Product analyst or business process analyst experience in sales, marketing or supply chain is desired.Demonstrated experience supporting Agile squads implementing web / mobile / eCommerce solutions.Experience and familiarity with Agile methodologies and tools (Rally, JIRA, CI/CD).Strong communication skills in writing, speaking, and presenting.Able to communicate technical or complex subject matter in business terms.Demonstrated track record of creating technology solutions to solve business problems (globally, or across multiple divisions or regions within a single company).High attention to detail is essential.Analytical, problem solver.Education / Experience:Bachelor’s degree in business, information systems or computer science or related field with relevant work experience.3+ years’ experience with digital product strategy, consulting or delivery.Experience working in high-tech, CPG or retail where there is a multi-tier distribution model is preferred.LocationChicago, IllinoisAdditional LocationsJob TypeFull timeJob AreaInformation TechnologyEqual OpportunityConstellation Brands is committed to a continuing program of equal employment opportunity. All persons have equal employment opportunities with Constellation Brands, regardless of their sex, race, color, age, religion, creed, sexual orientation, national origin or citizenship, ancestry, physical or mental disability, medical condition (cancer or genetic characteristics), marital status, gender (including gender identity or gender expression), familial status, military or veteran status, genetic information, pregnancy, childbirth, breastfeeding, or related conditions (or any other group or category within the framework of the applicable discrimination laws and regulations)."
47,Uline,Product Management Analyst (North of Chicago),"Chicago, IL",$58K - $98K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_bce73b7e&cb=1615249961501&jobListingId=3776044697,"Product Management AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158With a long history as a stable employer, we continue to look for passionate college graduates to join our team.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesPartner with Product Managers to source new products by reviewing customer comments and returns and completing competitor product reviews.Communicate with vendors to maintain relationships and solve issues.Participate in Uline's vendor research and sourcing strategies.Track and analyze raw material and currency indices to help negotiate product cost.Review sales trends and conduct market research to find growth opportunities.Collaborate with key Creative, Purchasing and Pricing stakeholders.Work with Quality Control team to maintain product quality and consistency.Visit vendors and attend product tradeshows to increase knowledge of manufacturing processes and market trends.Minimum RequirementsBachelor's degree. Marketing, Finance, and Supply Chain majors preferred.Proficient in Microsoft Office, especially in Excel.Organized and analytical with relentless attention to detail.Available for travel to tradeshows and vendor locations.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-POST#CORP"
48,Uline,Junior Report Analyst (North of Chicago),"Chicago, IL",$52K - $108K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_eaef0d36&cb=1615249961501&jobListingId=4007382468,"Junior Report AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158With Uline’s continued growth, we need a team that ensures we stay true to our company motto of Speed, Passion and Operational Excellence. Our Executive Operations team keeps us on track by conducting internal operational audits, analyzing company performance and reporting findings and recommendations to Uline’s President.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesPerform weekly analysis of customer feedback concerning all of Uline’s departments.Assist Executive Operations management with weekly and monthly reports that go directly to Uline’s President.Review and summarize operational data and provide executive summaries with recommendations to Uline leadership.Create summaries from IT and business meetings with follow-up and actionable items.Investigate root causes and work with cross-functional areas to provide analysis and recommendations for improvement in business operations.Minimum RequirementsBachelor’s degree.Experience with Microsoft Excel. Experience with Microsoft Access and SQL a plus.Clear and professional written, verbal and interpersonal communication skills.Excellent organizational and team player skills.Hardworking and enthusiastic personality.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 38,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-JF1#CORP"
49,Uline,Strategy Analyst (North of Chicago),"Chicago, IL",$56K - $90K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_4264501a&cb=1615249961501&jobListingId=3776044704,"Strategy AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158With Uline’s continued growth, we need a team that ensures we stay true to our company motto of Speed, Passion and Operational Excellence. Our Executive Operations team keeps us on track by conducting internal operational audits, analyzing company performance and reporting findings and recommendations to Uline’s President.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.Position ResponsibilitiesReview and summarize operational data and provide executive summaries with recommendations to Uline leadership.Investigate root causes and work with cross-functional areas to provide analysis and recommendations for improvement in business operations.Recommend cost-saving initiatives and provide assistance to leaders with implementation.Review, comment and follow-up on customer comment reports.Analyze weekly, monthly reports and develop solutions to improve performance.Assist in audits of departments / job functions and provide suggestions and feedback.Minimum RequirementsBachelor’s degree.1+ years of experience.Prior Microsoft Excel experience. Access experience a plus.Must be well organized and detail-oriented with the ability to multi-task.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-JF1#CORP"
50,Reyes Holdings,Cyber Security Risk Analyst - RH,"Rosemont, IL",$47K - $87K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1044074&s=58&guid=0000017814666fc5b5bdf5298078a7e6&src=GD_JOB_AD&t=SR&vt=w&cs=1_de246570&cb=1615249961501&jobListingId=4001596926,"Position Summary:The Cyber Security Risk Analyst will leverage advanced skills to help protect the organization from the activities of cyber criminals. This position will work closely with our Threat & Vulnerability team as well as our Security Incident Response team to help identify and mitigate security risks. This activity will include the coordination of security testing of applications in our portfolio across all business units. This position will also help implement solutions to security standards. Lastly, this position will risk assess security policies and practices of potential new business partners and system vendors that Reyes Holdings Family of Businesses is considering engaging.Position Responsibilities may include, but not limited to:Interface with IT and our business unit application owners to plan for and execute penetration tests and vulnerability scans.Review testing results and work with application owners to identify needed mitigation of risks identified and appropriate controls.Identify prospective vendors and partners which may require security assessment.Interface with internal business partners considering a potential external product to identify risks.Request security assessment information from prospective vendors and evaluate results and evidence submitted to gauge risks involved.Prepare assessment reports to inform business partner of overall risk presented by the prospective partner and suggest any needed controls.Interface with Engineering, Operations, and Business Units where clarification of security standards is required.Evaluate requests for variance from standard including identification of risks and suitable compensating controls.Follow-up on expiring requests, and report on outstanding requests.Monitoring and addressing supply chain attacks that develop with our existing partnersAny other duties as assignedRequired Skills and Experience:Bachelor's Degree in Engineering, Computer Science, or other IT-related field and 4+ years of experience working in a security risk assessment or security-focused compliance role OR High School Diploma and 7+ years of experience working in a security role involving risk assessment and security testing in lieu of a Bachelor’s degree.3+ years of experience with security testing of applications and remediation of discovered weaknesses.3+ years of experience performing risk assessments, preferably third-party vendor assessments. Familiarity with assessment tools such as SIG, VSA, and CAIQ.3+ years of experience with risk assessment methodology such as CIS-RAM.3+ years of experience writing, communicating, or interpreting security standards with an ability to determine applicability of standards to engineering projects, and the insight to identify gaps in standards coverage.2+ years of experience in evaluating, negotiating, and managing an exception process.Ability to interface with a wide range of roles in technical and business capacities.Must possess a willingness to learn, a positive attitude, ambition, high energy, and self-motivation.Strong collaboration skills - able to work in a team-oriented collaborative environment.Excellent verbal and written communication skills to interface with managers, staff, customers, and vendors at all levels within the company.Ability to effectively prioritize and execute tasks in a high-pressure environment.Strong problem-solving skills - applied skills in critical thinking and analysis, (communications) meeting facilitation, and (collaboration) interpersonal interactions.Strong skills for process and design documentationIn-depth knowledge of application development, PCs, servers, firewalls, TCP/IP & protocols, network admin tools, intrusion detection systems, anti-virus software, Active Directory, data encryption, and other industry-standard techniques and practices.Travel required up to 10% of the time.This position must pass a post-offer background and drug test.Preferred Skills and Experience:Medium to large global enterprise size environment experienceSecurity-related experience designing/implementing/administering enterprise solutionsFamiliarity with risk assessment frameworks such as NIST RMF, ISO 27005, OCTAVE, or FAIRFamiliarity with audit reports such as SOC 2 Type II and ISO 27001 certificationFamiliarity with privacy regulation including GDPR, CCPA, PCI-DSS, and HIPAACertified Information Security Manager (CISM)Certified Security Analyst (CSA)Certified Information Systems Auditor (CISA)Certified Cloud Security Professional (CCSP)AWS, Azure, Cisco Certified Security Professional (CCSP)Physical Demands and Work Environment:Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Due to the nature of our business in regard to such things as delivery schedules, order inputs, selection, and Department of Transportation Hours of Service, overtime, attendance and punctuality are essential job functions. Should an individual in this classification not be able to adhere to this requirement due to a disability, they should contact their Human Resources department to see what, if any, reasonable accommodation may be made.As an Equal Opportunity Employer, Reyes Holdings companies will recruit and select applicants for employment solely on the basis of their qualifications. Our Practices and Procedures, including those relating to wages, benefits, transfers, promotions, terminations and self-development opportunities, will be administered without regard to race, color, religion, sex, sexual orientation and gender identity, age, national origin, disability, or protected veteran status and all other classes protected by the Federal and State Government. Drug Free Employer."
