,company,industry,rank,job_title,location,salary_range,link,description,search_city,search_job,Unnamed: 0
2,Niantic,Media,3.6,"Software Engineer, Server Infrastructure","San Francisco, CA",$130K - $199K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1131299&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d2b79a05&cb=1617115528361&jobListingId=3680699864,"Niantic's Engineering Team is seeking a Software Engineer to build the server infrastructure that supports the hosted AR/Geo platform underpinning projects such as Pokémon GO, Ingress, and Harry Potter: Wizards Unite. You will work on real-time indexing, querying and aggregation problems at massive scales of hundreds of millions of events per day. These technical challenges pertain to a single, clear-cut worldwide instance shared by millions of users.

We currently have openings on our platform team, data team, ads team, and games team.Responsibilities

You will build robust, low-latency, scalable systems that support Niantic's products.
You will design and implement server-side features in Java.
You will collaborate with other specialists, product managers, and other departments to ensure code meets internal standards.
You will perform load testing, participate in code reviews, write unit tests, and conduct troubleshooting to ensure uptime for live systems.

Qualifications

You have a BS, MS, or PhD in Computer Science or a related technical field, or equivalent experience.
You have experience engineering scalable or cloud-based server systems.

Plus If

You have experience with deployment on hosting providers, such as Google Cloud, Azure or AWS.

Join the Niantic team!

Niantic is the world's leading AR technology company, sparking creative and engaging journeys in the real world. Our products inspire outdoor exploration, exercise, and meaningful social interaction.

Originally formed at Google in 2011, we became an independent company in 2015 with a strong group of investors including Nintendo, The Pokémon Company, and Alsop Louie Partners. Our current titles include pioneering global-control game Ingress, record-breaking AR game Pokémon GO, and recently released third title, Harry Potter: Wizards Unite.

Niantic is an Equal Opportunity employer. We believe that cultivating a workplace where our people are supported and included is essential to creating great products our community will love. Our mission emphasizes seeking and hiring diverse voices, including those who are traditionally underrepresented in the technology industry, and we consider this to be one of the most important values we hold close.

We're a hard-working, fun, and exciting group who value intellectual curiosity and a passion for problem-solving! We have growing offices located in San Francisco, Sunnyvale, Bellevue, Los Angeles, London, Tokyo, Hamburg, and Zurich.",sf,de,
3,Telecom Brokerage,Telecommunications,4.8,Solutions Engineer,"San Francisco, CA",$43K - $93K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1196077&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_15c9606a&cb=1617115528361&jobListingId=3807743201,"Join the technology industry by starting a career at TBI! Our organization is built for growth. Growing partnerships. Growing technology. And most importantly, growing careers. We foster an environment where those new to the industry have access to industry leaders, channel insights and resources for career-pathing.

TBI is the nation's leading third-party technology distributor. Since 1991, it has assisted Systems Integrators, VARs, MSPs, IT consultants, developers, software distributors and more in advising and sourcing the right technology solutions. TBI serves as a partner's advocate, ensuring the proper provisioning of cloud, Internet, data, mobility, voice, and managed services from best-in-class service providers to achieve clients' desired business outcomes.

Through training and marketing programs focused on the benefits of technology to the business, TBI empowers its partners to be the foremost authority to advise and source all of their clients' technology needs. With the largest back-office in the industry, TBI partners are fully supported by pre- and post-sales operations, project managers, and solutions engineers certified in the latest industry-leading technologies.

Position Summary:

The Solutions Engineer is responsible for providing advanced pre/post-sales support for the channel management support and sales team through designing, proposing and closing both existing and new opportunities. Additionally, this role will provide support and give advice to TBI partners and recommend to clients the best solutions for their needs.

Essential Functions and Responsibilities:

Provide technical execution and solutions management for TBI vendors
Build a strong technical competency of TBI ecosystem vendors over time including value proposition and differentiators
Work directly with clients to architect technology solutions that meet client's needs
Work closely with cross-functional teams to manage carrier partnerships
Assist Channel Managers and support team with presenting next gen solutions to clients
Establish and maintain strong relationships with key partners
Translate complex business requirements into solutions
Experience selling Network, UCaaS, CCaaS, CPaaS solutions
Preferred experience selling next gen solutions such as security, cloud, DRaaS, SDWAN
Present during key partner events and training sessions
Learn and understand the client's business objectives and technical needs
Secure pricing and generate quotes quickly and accurately from different providers through provider tools or via direct communication with provider

Job Requirements:

Bachelor's Degree in the IT field or equivalent combination of experience and education
5+ years of experience with network technologies in positions related to sales support or technical solutions support
Networking and UC Vendor or Industry Certification Preferred
Ability to regularly exercise discretion and independent judgment for unbiased solutions
Excellent written skills and the ability to do some administrative work related to documentation and ticket tracking of opportunities/meeting follow-ups
Excellent written and verbal communication
Working knowledge of networking hardware, communications, and cloud solutions
Ability to self-educate themselves on current and upcoming technology and trends

What's In It For You: Team TBI Health & Wellness Benefits

Shared-Cost Health Insurance Plans through Blue Cross Blue Shield
Dental Insurance
Vision Insurance
Medical & Dependent Care Flexible Spending Accounts
Company-paid Basic Life Insurance
Company-paid Long-Term Disability Insurance
Short-Term Disability Insurance
Accident & Critical Illness Insurance
Domestic Partner Benefits
TBI Fit Wellness Program

Additional Team TBI Benefits

401(k) savings plan with company match
Extensive growth opportunities
Generous PTO and paid holidays for full time employees
Volunteer time and Maternity & Paternity leave after one year of service
Paid Military leave after one year of service
Extra cash opportunities through company points program
Company social events, onsite lunches, monthly breakfasts and teambuilding events

Candidates for all positions with TBI must be legally authorized to work in the United States on a permanent basis. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for any positions with TBI.

TBI is an equal opportunity employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment regardless of their race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.",sf,de,
4,Lawrence Berkeley National Laboratory,Government,4.4,Senior PBX Telephony Engineer,"San Francisco, CA",$82K - $246K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1044074&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&cs=1_0d2b0594&cb=1617115528361&jobListingId=4040477660,"Berkeley Lab’s Information Technology Division has an exciting opportunity for a Senior PBX Telephony Engineer. In this position The Senior PBX Telephony Engineer will apply wide-ranging expertise and serve as the technical and operation team lead related to the daily management of the Lab’s Avaya Aura PBX and Aastra Pointspan PBX.What You Will Do:Collaborate with the TSG Group Lead in appropriate planning for the TSG.Serve as a technical and operational team lead to the group’s staff.Provide project leadership and management in support of the PBX replacement project.Management of trunking facilities to support carrier services and integration with all other Lab telephony systems including PBXs, voicemail, E911 services and telemanagement applications.Manage and resolve any issues related to CDR interfaces, call buffering, carrier interfaces, including ISDN, PRI, SIP and analog connection.Manage the integration between the Avaya Aura PBX and the Aastra PointSpan PBX.Perform elicitation activities to obtain requirements from service towers in support of the PBX replacement project.Manage the Pinnacle telemanagement system and associated databases including customizations, programming and scripting responsibilities to support system integrations, billing imports and reporting requirements.Plan, schedule, coordinate, and direct the technical and administrative support requirements and efforts of telecommunication projects, ensuring efficient use of personnel, materials, equipment and time.Assist in the design and implementation of all training manuals.Work on and resolve complex issues where analysis of situations or data requires an in-depth evaluation of variable factors.What is Required:Bachelor's degree and 8 years of relevant experience or an equivalent combination of education and experience.Wide-ranging expertise in the telecommunications industry including experience with recharge formats.Experience with Session Border Controllers (preferably Avaya and InGate), SIP proxies, Media Servers (preferably Avaya).Experience self-managing assigned tasks as well as coordinating the activities of other Personnel.Extensive knowledge of enterprise level PBXs, preferably Avaya Aura PBXs, SBCs and carrier trunking facilities.Extensive knowledge of SIP integrations between disparate PBXs, preferably Avaya Aura PBXs and Aastra PointSpan PBX, telco carriers, and SPOK E911 systems.Extensive knowledge of TDM Voice applications, E911 software applications.Extensive knowledge of VLANs and networking protocols to support IP telephony.Must have a detailed, working and theoretical knowledge of voice and data communications, including traditional switching, signaling and routing systems to include SIP, TCP/IP, etc.Strong theoretical and working knowledge of VoIP principles, protocols and CODECs such as SIP, G.711, G.729, WebRTC, VPN, UDP, RTPetc.Strong knowledge of SIP call routing, Least Cost Routing, Security Controls (TLS, IPSEC, ACLs) with Session Border Controllers.Excellent knowledge of telecom principles and terminology including DIDs, LATA OCN and NPA-NXX etc.Ability to build, interop and maintain direct connect SIP Trunks to customers and carriers.In depth knowledge of Wireshark or other network protocol analyzers.Ability to capture and analyze RTP streams as related to voice quality traditional KPI’s such as MOS, Jitter, Latency, Packets Loss.Ability to manage large-scale end-user systems databases.Extensive knowledge of Pinnacle telemanagement systems and related databases.Knowledge of voicemail systems, preferably AVST and Avaya IXM voicemail systems.Medium and large-scale project management experience managing diverse technologies and teams.Ability to resolve complex issues in creative and effective ways.Desired Qualifications:Six Sigma or ITIL certification.For full consideration, please apply by April 2, 2021.Notes:This is a full-time career appointment, exempt (monthly paid) from overtime pay.This position may be subject to a background check. Any convictions will be evaluated to determine if they directly relate to the responsibilities and requirements of the position. Having a conviction history will not automatically disqualify an applicant from being considered for employment.Work will be primarily performed at Lawrence Berkeley National Lab, 1 Cyclotron Road, Berkeley, CA.Equal Employment Opportunity: Berkeley Lab is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or protected veteran status. Berkeley Lab is in compliance with the Pay Transparency Nondiscrimination Provision under 41 CFR 60-1.4. Click here to view the poster and supplement. Equal Employment Opportunity is the Law.",sf,de,
5,MasterClass,Information Technology,4.3,Data Engineer - Data Platform,"San Francisco, CA",$119K - $131K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=8095&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3c1b2a7c&cb=1617115528362&jobListingId=4013582760,"Who we are:

MasterClass is transforming online education by enabling anyone in the world to learn from the very best. We are deconstructing what makes an actor able to cry on demand, how an athlete defies gravity, and what it takes to write a bestseller. Our online learning content is available to students anywhere anytime, which supports our mission to ignite the greatness in others.

We are a quickly growing VC-funded startup based in San Francisco, with additional offices in Los Angeles. We have created online classes taught by famous masters— Gordon Ramsay, Serena Williams, Neil deGrasse Tyson, Sara Blakely, David Sedaris, Bobbi Brown, Timbaland, Anna Wintour and many more to come.

Since launching in 2015, we have been growing our team. Apply now to find out more about what we are doing behind the scenes.

What we are looking for:

Data, and how they are used, play a central role at MasterClass and are at the heart of how we make business, product, content, and operational decisions. Our growing Analytics, Data Science, and Data Engineering teams sit at the core of the company and collaborate with a variety of departments to drive decisions and provide direction for future growth at MasterClass. The team tackles challenging problems across many technical disciplines, including time series forecasting, causal inference, optimization, and machine learning. We are looking for an exceptional Data Engineer to help build our data platform to scale the business and enable our Analytics and Data organization in solving those challenges.

Responsibilities of the role:

Proactively execute implementations of our data engineering/data warehouse initiatives that holds video streaming, subscription, enterprise, CRM, and financial datasets and systems
Understand business needs, build data models, develop scalable and reliable solutions
Maintain data quality; use best practices for standard naming conventions and coding practices to ensure consistency of data models and tracking
Attain SLA's for data sets and processes running in production
Continuously improve our various tools within data infrastructure
Design and develop scalable implementations
Build strong cross-functional partnerships with Data Scientists, Analysts, Product Managers and Software Engineers to understand data needs and implement on those needs

Requirements:

2+ years of experience in Data Engineering and Data Warehousing
Bachelor's degree in a quantitative field, e.g. Computer Science, Math, Physics
Advanced proficiency with SQL, Python, Postgres, REST/GraphQL
Experience in working within cloud based Data warehouse/Data platform systems, developing ETL/ELT pipelines and usage of RDBMS/NoSQL/other types of databases
Experience integrating with external systems/vendor APIs for ingestion of datasets in data platform
Experience integrating and development in distributed/RT systems
Strong communication skills, with the ability to execute projects proactively and accurately
Work full-time in our San Francisco office

At MasterClass, we believe we put our best work forward when our employees bring together ideas that are diverse in thought. We are proud to be an equal opportunity workplace and are committed to equal employment opportunity regardless of race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or any other characteristic protected by applicable federal, state or local law. In addition, MasterClass will provide reasonable accommodations for qualified individuals with disabilities. If you have a disability or special need, we would like to know how we can better accommodate you.",sf,de,
6,Dropbox,Information Technology,3.8,Data Engineer,"San Francisco, CA",$109K - $197K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=37049&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&cs=1_56a2397e&cb=1617115528363&jobListingId=4042672949,"Company DescriptionDropbox is now a Virtual First company, which means work outside of an office will be the primary experience for all employees. Being Virtual First also means the location of our employees is targeted but flexible. If Location Flexible is listed in the job title of a role, the role can be located in any of the states where Dropbox is authorized to do business.** Some roles (including those which do not have Location Flexible in the job title), however, may have to be co-located with their teams in certain locations. Please work with your recruiter and your hiring manager to understand any location constraints of a particular role and to communicate your location preferences. 



*Dropbox is authorized to do business in many, but not all, states. If you are not located in or able to work from a state where Dropbox is registered, you will not be eligible for employment. Please speak with your recruiter to learn more about where Dropbox is registered. ",sf,de,
7,Chime,Finance,4.6,"Data Engineer, Ingestion","San Francisco, CA",$81K - $146K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=8095&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_146e3e27&cb=1617115528363&jobListingId=4018114233,"About the role

Data is fundamental to our success here at Chime. Our challenges right now include scaling our systems to keep up with a fast-growing product, architecting a fresh modern stack, and implementing infra and pipelines often from scratch, given we are a nascent team. We focus on data quality, reliability, observability, performance, and security.

The ideal candidate will be excited by the prospect of contributing to our company's data pipelines and infrastructure and supporting our next generation of products and data initiatives that could become de facto standards in the fintech industry.

This role cannot be performed in the state of Colorado.

In this role, you can expect to

Be a hands-on data engineer: building, scaling and optimizing ingestion and delivery pipelines
Work with stakeholders including Infra Engineering, Analytics, Risk, Data Science / Machine Learning, and Product Engineering teams
Work with outside vendors and write code to interact with their APIs
Participate in key technical and design discussions with technical leads and other engineers
Participate in technical discussion and code reviews with your team
Contribute to the development of foundational data infrastructure for the team and company

To thrive in this role, you have

2+ years of experience in designing, implementing, optimizing and operationalizing data ingestion or processing systems including data pipelines, data warehouses and enterprise wide data-flows
Earned a bachelor's degree in Computer Science or other technical field, or industry equivalent
Strong attention to detail
An understanding of the tradeoffs between data infrastructure and toolsets
Ability to effectively communicate with technical and non-technical partners
Python, SQL, and/or other programming skills in the data space
Experience with some industry tools, ideally at least a few of:

Data Warehouses: Snowflake, Redshift
Airflow or other workflow scheduler
SQL databases, including MySQL, Postgres, RDS, etc.
NoSQL databases and unstructured/semi-structured data (DynamoDB, Mongo)
Streaming infra: Kinesis, Kafka, Sqoop, Flume, Flink, Spark
Common analytics vendors: e.g. Segment, Fivetran, Stitch
AWS cloud services: EC2, RDS, IAM, S3, EMR (nice to have)
Infrastructure-as-code: Terraform (nice to have)
Hadoop ecosystem: Hadoop, Hive, Spark (nice to have)

A little about us

We created Chime because we believe everyone deserves financial peace of mind. By eliminating unnecessary fees and helping people grow their savings automatically, we've empowered millions of Americans to take control of their finances.

Chime is the largest and fastest-growing U.S. player in the challenger-banking space. Through our banking partners, we offer access to bank accounts with fee-free overdraft, provide members the chance to receive early access to their paychecks, help them improve their credit, and more!

We've built one of the most experienced leadership teams in Fintech and were recently valued at over $14.5B. We've raised over $1B in funding from leading investors including DST, Coatue, Tiger Global, General Atlantic, Iconiq, Dragoneer, Menlo, Whale Rock, Access, Forerunner, Crosslink, Cathay, aCrew, and others.

What we offer

 Competitive salary based on experience
 401k match plus the usual medical, dental, vision, life, and disability benefits
 Quarterly stipend to spruce up your home office
 Generous vacation policy and company-wide Take Care of Yourself Days
 Virtual events to connect with your fellow Chimers- think cooking classes, music festivals, mixology classes, paint nights etc., and delicious snack boxes, too!
 A challenging and fulfilling opportunity to join one of the most experienced teams in FinTech and help create a completely new kind of banking service

We know that great work comes from great, and inclusive, teams. At Chime, we specifically look for individuals of varying strengths, skills, backgrounds, and ideas. We believe this gives us a competitive advantage to better serve our members, and helps us all grow as Chimers and individuals.

We hire candidates of any race, color, ancestry, religion, sex, national origin, sexual orientation, gender identity, age, marital or family status, disability, Veteran status, and any other status. Chime is proud to be an Equal Opportunity Employer and will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance. If you have a disability or special need that requires accommodation, please let us know. To learn more about how Chime collects and uses your personal information during the application process, please see the Chime Applicant Privacy Notice.",sf,de,
8,Facebook,Information Technology,4.3,"Data Engineer, Product Analytics","San Francisco, CA",$118K - $198K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1044074&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&cs=1_ef73ac9d&cb=1617115528363&jobListingId=4016111775,"Every month, billions of people leverage Facebook products to connect with friends and loved ones from across the world. On the Data Engineering Team, our mission is to support these products both internally and externally by delivering the best data foundation that drives impact through informed decision making. As a highly collaborative organization, our data engineers work cross-functionally with software engineering, data science, and product management to optimize growth, strategy, and experience for over three billion users, as well as our internal employee community. In this role, you will see a direct correlation between your work, company growth, and user satisfaction. Beyond this, you will work with some of the brightest minds in the industry, and you'll have a unique opportunity to solve some of the most interesting data challenges around efficiency and integrity, at a scale few companies can match. As we continue to expand and create, we have a lot of exciting work ahead of us!Manage and execute data warehouse plans for a product or a group of products to solve well-scoped problems.Identify the data needed for a business problem and implement logging required to ensure availability of data, while working with data infrastructure to triage issues and resolve.Collaborate with engineers, product managers and data scientists to understand data needs, representing key data insights visually in a meaningful way.Build data expertise and leverage data controls to ensure privacy, security, compliance, data quality, and operations for allocated areas of ownership.Design, build and launch new data models and visualizations in production, leveraging common development toolkits.Independently design, build and launch new data extraction, transformation and loading processes in production, mentoring others around efficient queries.Support existing processes running in production and implement optimized solutions with limited guidance.Define and manage SLA for data sets in allocated areas of ownership.Experience in the data warehouse space.Experience in custom ETL design, implementation and maintenance.Experience with object-oriented programming languages.Experience with schema design and dimensional data modeling.Experience in writing SQL statements.Experience analyzing data to identify deliverables, gaps and inconsistencies.Experience managing and communicating data warehouse plans to internal clients.BS/BA in Technical Field, Computer Science or Mathematics.Experience working with either a MapReduce or an MPP system.Knowledge and practical application of Python.Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",sf,de,
9,Allstate,Insurance,3.5,Avail - Principal DevOps Engineer,"San Francisco, CA",$115K - $185K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1044074&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&cs=1_a703ef63&cb=1617115528364&jobListingId=3811375394,"Avail is a new car sharing platform focused on improving mobility and reducing the cost of car ownership. We give car owners a way to earn extra income from their idle cars and connect drivers with a convenient, affordable way to drive a car when they want. Job DescriptionAvail (affiliate company of Allstate) is a new car sharing platform focused on improving mobility and reducing the cost of car ownership. We give car owners a way to earn extra income from their idle cars and connect drivers with a convenient, affordable way to drive a car when they want. A Principal DevOps Engineer at Avail is accountable for working on platform architecture and infrastructure for our car sharing product. Key ResponsibilitiesHelp to build a collaborative DevOps strategy and partnership with local and remote development teamsBuilding best-in class service engineering capabilities in the DevOps teamResponsible for Engineering Operations, including building software and tools needed by the Engineering organization to deliver a high quality productHelping to design and develop high-performance, scalable software solutions based on state of the industry technology Job Qualifications8+ years of DevOps related experienceGreat communication skills, both verbal and written.Significant experience with AWS, Terraform, Container orchestration, RDMS and non-relational datastores, Continuous Integration/Continuous DeliveryExperience with agile planning, deployment, integration, test/validation, and configuration custom software across multiple DevOps tooling platformsExperience with configuration management tools (Puppet, Ansible, Chef, or similar) and experience in automation by scripting in Bash, PowerShell, Perl, Ruby, JavaScript, and PythonExpert level experience with JenkinsStrong practical administration skills in Public Cloud environmentsShown experience shipping a high quality third party developer platformExperience with web services and web application/services supportWorkflow flexibility and strong teamwork skillsA natural aptitude for teaching and learning from others in a collaborative team environment Compensation DataThe minimum starting salary for this role is $125,000 per year.The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.Good Work. Good Life. Good Hands®.As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy.Learn more about life at Allstate. Connect with us on Twitter , Facebook , Instagram and LinkedIn or watch a video .Allstate generally does not sponsor individuals for employment-based visas for this position.Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.For jobs in San Francisco, please click “ here ” for information regarding the San Francisco Fair Chance Ordinance.For jobs in Los Angeles, please click “ here ” for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.To view the “EEO is the Law” poster click “ here ”. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance ProgramsTo view the FMLA poster, click “ here ”. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.It is the Company’s policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employee’s ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment.",sf,de,
10,Rakuten,Information Technology,3.6,Big Data Engineer,"San Mateo, CA",$70K - $131K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=242900&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&cs=1_b13d9fc7&cb=1617115528365&jobListingId=4042736330,"Job Description:SUMMARY:The Big Data Engineer is part of the global Rakuten Catalog Platform Department. The Catalog Platform provides services to global business units including an accurate, compelling catalog with millions of products and highly relevant search services. The team uses Big Data technologies, Cloud infrastructure, open source scalable search platform and cutting-edge machine learning/statistical modeling.The Big Data Engineer will be responsible for participating in design and development of Product Catalog and Search components including storage, search, large data processing, APIs, analytics and web services. Be part of an awesome R&D team where you get inspired by talented people, challenges and mission to change the global e-commerce landscape!KEY RESPONSIBILITIES1. Participate in design & development of Product Catalog & Search2. Work on implementing storage integration3. Work on developing code and unit testing search index integration4. Implement large data processing (stream & batch) solutions5. Work on enhancing APIs or implementing new APIs6. Implement analytics jobs to process large amount of dataMINIMUM REQUIREMENTS (Knowledge, Skills, AbilitiesTo perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Strong knowledge of JavaStrong knowledge of design patterns, OOPS principles and data structuresStrong knowledge of at least some of the following frameworks/technologies – Hibernate, Spring, REST, XML, JSON, ActiveMQ, KafkaExperience with tools and technologies like Gradle, Maven, Jenkins, git, IntelliJ, Eclipse, Docker to support end to end software developmentExperience with Relational databases, queries and RDBMS best practicesStrong troubleshooting and performance tuning skillsAbility to work in a fast-paced Agile and rapid deployment in the Cloud/SaaS environment.Able to effectively communicate across teams and roles.

QUALIFICATION REQUIREMENTS 

BS/MS in Computer Science or a related field1-5 years of solid Java back-end experience

RAKUTEN SHUGI PRINCIPLESOur worldwide practices describe specific behaviors that make Rakuten unique and united across the world. We expect Rakuten employees to model these 5 Shugi Principles of Success.

Always improve, always advance. Only be satisfied with complete success - Kaizen.Be passionately professional. Take an uncompromising approach to your work and be determined to be the best.Hypothesize - Practice - Validate - Shikumika. Use the Rakuten Cycle to success in unknown territory.Maximize Customer Satisfaction. The greatest satisfaction for workers in a service industry is to see their customers smile.Speed!! Speed!! Speed!! Always be conscious of time. Take charge, set clear goals, and engage your team.

#LI-DB1",sf,de,
11,Netskope,Information Technology,4.2,"Principal Software Development Engineer in Test, Data Engineering","San Francisco, CA",$172K - $207K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=985336&s=58&guid=000001788398ba649b09dd6e42474685&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4e3ef1e8&cb=1617115528365&jobListingId=3761954701,"About NetskopeToday, there are more data and users outside the enterprise than inside, causing the network perimeter as we know it to dissolve. We realized a new perimeter was needed, one that is built in the cloud and follows and protects data wherever it goes, so we started Netskope to redefine Cloud, Network and Data Security.
Since 2012, we have built the market-leading cloud security company and an award-winning culture powered by hundreds of employees spread across offices in Santa Clara, San Francisco, Seattle, Bangalore, London, Melbourne, and Tokyo. Our core values are openness, honesty, and transparency, and we purposely developed our open desk layouts and large meeting spaces to support and promote partnerships, collaboration, and teamwork. From catered lunches and office celebrations to employee recognition events (pre and hopefully post-Covid) and social professional groups such as the Awesome Women of Netskope (AWON), we strive to keep work fun, supportive and interactive.Visit us at Netskope Careers and follow us on Twitter @Netskope and Facebook.
Principal Software Development Engineer in Test, Data EngineeringPlease note, this team is hiring across Staff Engineer, Sr. Staff Engineer and Principal Engineer levels and all candidates are individually assessed and appropriately leveled based upon their skills and experience.What's in it for you

You will be part of a growing team of industry experts in the exciting space of Cloud Analytics.
Your contributions will create a high impact in the industry and our customers through our products.
You can shape Data Engineering at Netskope!

What we are looking for

15+ years of experience
Experience working with SQL and no-SQL datastores like Elasticsearch, MongoDB, Druid, Postgres, Teradata, Big Query
Understanding of DB Internals
Solid test automation experience in Python, Go or any other language
Experience testing data ingestion pipeline and data querying services
Experience testing REST services
Experience in test plan and test case documentation
Understanding the impact of data organization and query optimization on query performance
Good understanding of data structures and algorithms and excellent programming skills
Experience with Docker and Kubernetes
Expert level understanding of big data infrastructure.
Strong verbal and written communication skills

What will you be doing?You will be writing tests for our big data workflows; You will help us validate the ingestion pipelines and query platforms, work closely with the Data Engineers to optimize and test data infrastructure and platforms for massive scale.Education

BS or MS in Computer Science or equivalent technical degree

#LI-CN1
",sf,de,
